"Timestamp","A","B","C","D","I","J","K","L","M","N","O","P","Q","R","S","T","U","W","X","Y"
"2022/07/26 12:04:28 PM GMT+7","1 or none","1 or none","2","2","4 or more","4 or more","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","3","2","3","3"
"2022/07/26 12:16:34 PM GMT+7","4 or more","4 or more","4 or more","2","3","2","3","3","1 or none","2","2","3","1 or none","4 or more","4 or more","1 or none","3","2","3","3"
"2022/07/26 12:31:08 PM GMT+7","2","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","2","2","3","3"
"2022/07/26 1:12:37 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","2","2","3","3"
"2022/07/26 4:27:01 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","1 or none","1 or none","1 or none","2","2","3","3"
"2022/07/26 4:33:11 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","2","2","3","3"
"2022/07/26 4:36:16 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","1 or none","1 or none","2","2","3","3"
"2022/07/26 5:29:23 PM GMT+7","4 or more","4 or more","4 or more","2","","4 or more","3","3","1 or none","2","2","3","2","2","2","2","3","2","3","3"
"2022/07/26 6:02:47 PM GMT+7","3","4 or more","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","3","2","3","3"
"2022/07/26 6:38:36 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","1 or none","2","3","1 or none","1 or none","1 or none","1 or none","1 or none","2","1 or none","1 or none"
"2022/07/26 9:26:09 PM GMT+7","1 or none","1 or none","2","2","3","1 or none","2","3","1 or none","2","2","3","1 or none","1 or none","1 or none","1 or none","1 or none","2","1 or none","3"
"2022/07/28 12:55:44 AM GMT+7","1 or none","1 or none","1 or none","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","1 or none","1 or none","1 or none","2","2","3","3"
"2022/07/28 4:54:54 PM GMT+7","1 or none","1 or none","2","2","1 or none","1 or none","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","2","2","3","3"
"2022/08/01 10:22:20 PM GMT+7","4 or more","3","2","2","1 or none","2","2","3","1 or none","2","2","3","1 or none","2","2","1 or none","3","2","3","3"